"Subject" "Activity" "Feature" "Mean"
1 "STANDING" "tBodyAcc-mean()-X" 0.265696920582133
1 "STANDING" "tBodyAcc-mean()-Y" -0.0182981725176081
1 "STANDING" "tBodyAcc-mean()-Z" -0.10784573454611
1 "STANDING" "tBodyAcc-std()-X" -0.545795331328326
1 "STANDING" "tBodyAcc-std()-Y" -0.367716218227378
1 "STANDING" "tBodyAcc-std()-Z" -0.502645746562824
1 "STANDING" "tGravityAcc-mean()-X" 0.744867411573487
1 "STANDING" "tGravityAcc-mean()-Y" -0.0825562579855908
1 "STANDING" "tGravityAcc-mean()-Z" 0.072339870389049
1 "STANDING" "tGravityAcc-std()-X" -0.959859435936599
1 "STANDING" "tGravityAcc-std()-Y" -0.951150627458213
1 "STANDING" "tGravityAcc-std()-Z" -0.925817590867435
1 "STANDING" "tBodyAccJerk-mean()-X" 0.0770930495126801
1 "STANDING" "tBodyAccJerk-mean()-Y" 0.0165908438802305
1 "STANDING" "tBodyAccJerk-mean()-Z" -0.00910758730117003
1 "STANDING" "tBodyAccJerk-std()-X" -0.524721922818732
1 "STANDING" "tBodyAccJerk-std()-Y" -0.470412403511239
1 "STANDING" "tBodyAccJerk-std()-Z" -0.717322274881844
1 "STANDING" "tBodyGyro-mean()-X" -0.0208764064320173
1 "STANDING" "tBodyGyro-mean()-Y" -0.0880722729400576
1 "STANDING" "tBodyGyro-mean()-Z" 0.0862641666597983
1 "STANDING" "tBodyGyro-std()-X" -0.686555715201729
1 "STANDING" "tBodyGyro-std()-Y" -0.450979810499568
1 "STANDING" "tBodyGyro-std()-Z" -0.597496136795101
1 "STANDING" "tBodyGyroJerk-mean()-X" -0.0971120197265994
1 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0417164808293948
1 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0471393985477522
1 "STANDING" "tBodyGyroJerk-std()-X" -0.637812687210375
1 "STANDING" "tBodyGyroJerk-std()-Y" -0.634472244550432
1 "STANDING" "tBodyGyroJerk-std()-Z" -0.664591977786455
1 "STANDING" "tBodyAccMag-mean()" -0.453632943768818
1 "STANDING" "tBodyAccMag-std()" -0.497096402038329
1 "STANDING" "tGravityAccMag-mean()" -0.453632943768818
